begins_at,session,high_price,close_price,open_price,interpolated,volume,low_price
2018-10-26T13:30:00Z,reg,216.500000,215.190000,215.640000,False,1077528,214.750000
2018-10-26T13:35:00Z,reg,216.460000,215.990000,215.180000,False,468811,214.960000
2018-10-26T13:40:00Z,reg,217.360000,217.100000,215.990000,False,381465,215.960000
2018-10-26T13:45:00Z,reg,217.820000,217.730000,217.115300,False,249350,216.620000
2018-10-26T13:50:00Z,reg,217.715000,216.500000,217.715000,False,263147,216.385000
2018-10-26T13:55:00Z,reg,217.070000,216.370000,216.500000,False,241433,216.210000
2018-10-26T14:00:00Z,reg,216.409900,215.750700,216.350000,False,269131,215.400000
2018-10-26T14:05:00Z,reg,215.830000,215.260000,215.770000,False,302827,215.020000
2018-10-26T14:10:00Z,reg,215.450000,215.260000,215.270000,False,426282,214.610000
2018-10-26T14:15:00Z,reg,215.660000,215.610000,215.230000,False,196782,214.930000
2018-10-26T14:20:00Z,reg,216.270000,216.160000,215.542200,False,170682,215.250000
2018-10-26T14:25:00Z,reg,216.560000,215.398300,216.190000,False,275683,215.210000
2018-10-26T14:30:00Z,reg,215.770000,215.360000,215.370000,False,327367,214.957400
2018-10-26T14:35:00Z,reg,215.610000,215.240000,215.377000,False,225738,214.850000
2018-10-26T14:40:00Z,reg,215.410000,214.990000,215.172500,False,244787,214.910000
2018-10-26T14:45:00Z,reg,215.060000,214.890000,215.000000,False,365997,214.173000
2018-10-26T14:50:00Z,reg,215.330000,213.960000,214.890000,False,354413,213.810000
2018-10-26T14:55:00Z,reg,214.160000,212.900000,213.980000,False,505452,212.790000
2018-10-26T15:00:00Z,reg,214.000000,213.910000,212.830000,False,301741,212.670000
2018-10-26T15:05:00Z,reg,214.779000,214.220000,213.920000,False,237991,213.570000
2018-10-26T15:10:00Z,reg,214.700000,214.590000,214.210000,False,173709,214.140000
2018-10-26T15:15:00Z,reg,215.480000,215.350000,214.613400,False,184977,214.500000
2018-10-26T15:20:00Z,reg,216.150000,216.040000,215.430000,False,228340,215.335000
2018-10-26T15:25:00Z,reg,216.220000,215.870000,216.100000,False,167994,215.545000
